"We could not find any stores in your area.","Wir konnten leider keine DHL Abholstationen in Ihrer Nähe finden."
"%s is currently not supported.","%s wird derzeit nicht unterstützt."
"Insufficient address parts given.","Die angegebene Adresse ist zu kurz für eine Abfrage."
"Zipcode","PLZ"
"City","Stadt"
"Street","Straße ggf. Hausnummer"
"Search","Suchen"
"Unknown address.","Bitte tragen Sie eine gültige Adresse ein."
"Search packing station / post office","Packstation / Postfiliale suchen"
"DHL Station Type","DHL Stationstyp"
"DHL Station","DHL Station"
"DHL Post Number","DHL Postnummer"
"Shipping per Locationfinder","Lieferung an eine DHL Abholstation"
"Use this station","Diesen Standort verwenden."
